,comment,macrolabel,microlabel,source
1873,3학년 때 상대 학생회장에 당선 한일협정을 반대하는 6.3 시위를 주도했다.,Clean,None,위키피디아
1874,인플레이션의 부정적인 영향으로는 돈을 저축하는 것에 대한 기회비용이 증가한다는 것이 있다.,Clean,None,위키피디아
1875,"그러나 2015년 12월 안철수는 ""생각이 다른 사람을 배척하면 집권할 수도 없지만 집권해서도 안된다.""라고 호소하며 새정치민주연합을 탈당하였다.",Clean,None,위키피디아
1876,"뉴욕 지하철은 세계 최대의 지하철망 중 하나이며, 컬럼비아 대학교, 뉴욕 대학교를 포함한 수많은 대학교도 뉴욕에 있다.",Clean,None,위키피디아
1877,1970년대 초 포항제철이 조성되면서 도시화가 진행되었다.,Clean,None,위키피디아
1878,‘중동’이라는 용어는 1900년대에 들어서 영국이 사용하였다.,Clean,None,위키피디아
1879,"그후 보안사령관, 중앙정보부장 서리, 국보위 상임위원장 등을 역임, 육군 대장 예편 후 정계에 입문하였다.",Clean,None,위키피디아
1880,영일만에서는 주로 청어로 과메기를 만들었으나 1960년대 이후 꽁치가 많이 잡히자 주로 꽁치로 과메기를 만들었다.,Clean,None,위키피디아
1881,또한 2021년 1월 10일 조선로동당 제8차대회에서 조선로동당 총비서로 추대되었다.,Clean,None,위키피디아
1882,"개신교 또는 복음주의, 프로테스탄티즘은 16세기 서방교회 개혁 찬성파인 교회의 개혁가들의 종교개혁을 통해 생겨난 기독교의 한 전통이다.",Clean,None,위키피디아
1883,이 무렵 여러 나라에서 유래한 외래어와 신조어가 크게 늘었다.,Clean,None,위키피디아
1884,"현대국가 이스라엘은 유대 국가로서 수립되었으며, 기본법에서도 스스로를 유대 국가로 규정하므로 귀환법에 의해 이스라엘 시민권을 요구하는 모든 유대인에게 국적 취득을 승인한다.",Clean,None,위키피디아
1885,"러시아는 유엔안전보장이사회의 영구 회원국이자, G20, 유럽 위원회, APEC, OSCE, IIB, WTO의 일원이며 CIS, CSTO, EAEU를 주도하는 국가이기도 하다.",Clean,None,위키피디아
1886,유럽과 오스트레일리아의 국가에서는 혐오 발언에 대해 형법상 처벌을 강화하는 추세로 독일은 형법에 '특정 인구 집단을 모욕하거나 악의적으로 비방해 타인의 인간적 존엄성을 침해하는 행위' 등에 대해 최대 징역 3년형에 처할 수 있도록 명시하고 있고 영국 역시 피부색·인종ㆍ국적ㆍ출신국에 대한 혐오 발언을 한 사람에게 2년 이하의 징역형을 부과한다.,Clean,None,위키피디아
1887,풀뿌리 민주 정치를 실현하고 권력 통제를 효과적으로 이루기 위해 헌법이 제도적으로 보장하고 있다.,Clean,None,위키피디아
1888,부다가야의 보리수 밑에서 선정을 수행하여 35세에 완전한 깨달음을 성취하고 부처가 되었다.,Clean,None,위키피디아
1889,"호남 지방은 광주광역시, 전라남도, 전라북도 일대를 가리키는 지역 구분 용어이다.",Clean,None,위키피디아
1890,"바티칸 시국, 약칭 바티칸 시 또는 바티칸은 이탈리아의 로마 시내에 위치하고 있으며, 국경 역할을 하는 장벽으로 둘러싸인 영역으로 이루어져 있는 내륙국이자 도시 국가이다.",Clean,None,위키피디아
1891,"초월존재에 대한 두려움과 숭배는 동-서양을 막론하고, 고대 유물과 각 민족의 전승 “신화”로서 그 실상이 명백하게 밝혀지고 있다.",Clean,None,위키피디아
1892,또한 동성애 관계는 심리학적인 측면에서 이성애 관계와 동등하다.,Clean,None,위키피디아
1893,"1968년 아랍 사회주의 정당인 바트당이 정권을 장악하였으며, 바트당을 이끈 사담 후세인은 이란-이라크 전쟁과 걸프 전쟁을 일으켰지만 모두 실패했고 유엔의 경제제재를 받게 되었다.",Clean,None,위키피디아
1894,통일민주당 총재 김영삼의 공천을 받아 제13대 총선에 출마하여 부산 동구에서 당선되며 5공비리특별위원으로 활동했다.,Clean,None,위키피디아
1895,"현재, 수많은 여성주의 정당이 존재한다.",Clean,None,위키피디아
1896,경상북도 내에서는 포항시에 이어 2번째로 큰 도시다.,Clean,None,위키피디아
1897,"행정구역은 2구 4읍 8면 18행정동이고, 시청 소재지는 불당동이다.",Clean,None,위키피디아
1898,"사우디아라비아 왕국, 약칭 사우디아라비아는 중동 및 서아시아에 있는 전제군주국이다.",Clean,None,위키피디아
1899,무슬림은 이슬람의 제4 분사형으로 '복종의 행위를 취하는 사람'을 말한다.,Clean,None,위키피디아
1900,"2012년 4월 11일에 아버지 김정일을 이어서 조선로동당 제1비서가 되었으며, 4월 12일에는 국방위원회 제1위원장이 되었다.",Clean,None,위키피디아
1901,마호메트 또는 모하메드 등은 아랍어 여러 방언의 발음 변이 및 아랍어를 차용한 여러 언어의 발음 차이로 생긴 변이형이다.,Clean,None,위키피디아
1902,신부에는 다음과 같은 동음이의어가 있다.,Clean,None,위키피디아
1903,"무슬리마라는 여성형 표현도 있으나, 보통 총칭할 때는 '무슬림'이라고 한다.",Clean,None,위키피디아
1904,"일반적으로 한자라는 문자로 표기되는데, 이는 고대의 상형문자 갑골문을 기반으로 한 표어문자로서 그 수가 매우 많으며 독특한 형태를 지니고 있다.",Clean,None,위키피디아
1905,기안84는 대한민국의 만화가이자 방송인이다.,Clean,None,위키피디아
1906,BICC에 의하면 사우디아라비아는 세계에서 28번째로 군사화된 나라이며 군장의 질도 이스라엘 다음으로 세계에서 최고로 우수한 편에 손꼽힌다고 전한다.,Clean,None,위키피디아
1907,인도네시아의 수도인 자카르타는 세계에서 2번째로 인구밀집도가 높은 도심 지역이다.,Clean,None,위키피디아
1908,"일본에서는 카레라이스, 카레우동, 카레빵, 수프카레 등의 음식도 생겨났다.",Clean,None,위키피디아
1909,"예수, 나사렛 예수, 예수 그리스도는 1세기의 유대인 설교자이자 종교 지도자로, 세계 최대 종교인 기독교의 중심 인물이자 신앙의 대상이다.",Clean,None,위키피디아
1910,급진 여성주의자들은 사회를 근본적으로 남자가 여자를 억압하고 지배하는 가부장제로 바라본다.,Clean,None,위키피디아
1911,"세계화가 진행됨에 따라 단일한 민족 국가들이 가지고 있던 다양한 문화를 서로 인정하고 교류하기 위해 여러 문화를 존중하고자 하는 이론으로 여성문화, 소수파문화, 비서양문화 등 여러 유형의 이질적인 문화의 주변 문화를 제도권 안으로 수용하자는 입장을 이르는 말이다.",Clean,None,위키피디아
1912,"당사자의 의지의 문제로 보거나 종교적 믿음 부족이라고 오해되지만 한국 복지법에서는 조현병, 양극성 장애와 더불어 호전의 기미가 보이지 않는 우울장애를 정신장애로 인정하고 있다.",Clean,None,위키피디아
1913,"전·노 두 사람이 김영삼 대통령 임기 안에 사면될 것이라는 전망은 42.2%, 그렇지 않을 것이라는 답변은 40.5%로 엇비슷했다.",Clean,None,위키피디아
1914,"하나님은 절대적 최고의 신, 만물의 창조주 등을 일컫는다.",Clean,None,위키피디아
1915,이들은 종종 중첩되기도 하고 일부 여성주의자는 자기 자신을 여러 개의 여성주의 분파 이론으로 규정하기도 한다.,Clean,None,위키피디아
1916,2017년 제19대 대통령 선거 정의당 후보로 선출되었지만 5위로 낙선하였다.,Clean,None,위키피디아
1917,퀴어 퍼레이드는 스톤월 항쟁을 기념하기 위해 대부분 매년 6월에 열린다.,Clean,None,위키피디아
1918,"이 관점들은 일반적으로 매춘에 대해 비판적이거나, 지지하는 두 가지 관점으로 느슨하게 구분될 수 있다.",Clean,None,위키피디아
1919,우리나라의 불교는 삼국시대에 중국을 통해 전래되었다.,Clean,None,위키피디아
1920,"하나님의 어원은 19세기 말 평안도 방언 ‘하ᄂᆞᆯ’과 ‘님’의 합성어, ‘하ᄂᆞ님’이다. 한 동안 하느님만이 표준어로 인정받았지만 지금은 하나님은 ‘개신교에서 하느님을 이르는 말’로 표준어로 쓰이고 있다.",Clean,None,위키피디아
1921,특산물로는 구룡포의 과메기가 유명하다.,Clean,None,위키피디아
1922,"뉴욕의 인구는 2011년을 기준으로 8,244,910명으로, 305 제곱마일에 걸쳐 분산되어 있다.",Clean,None,위키피디아
1923,"서아시아가 원산지인 한해살이풀로 한국을 비롯한 동아시아와 북아메리카, 아프리카 등에 널리 분포하는 기름작물이다.",Clean,None,위키피디아
1924,"일제 강점기 조선에 귀국하여 계몽교육을 하다가 일제의 체포 위협을 피해 1912년 미국으로 망명, 하와이에서 한인학원과 한인학교 등을 운영하며 실력양성운동을 하였다.",Clean,None,위키피디아
1925,"2011년에 국제 연합 인권 이사회에서는 성소수자에 대한 혐오 범죄와 차별, 성소수자 처벌과 성소수자 권리 증익을 도모할 것을 요구하는 결의안을 채택하였다.",Clean,None,위키피디아
1926,그러나 각국은 하나의 중국을 주장하며 상대를 인정하지 않고 있다.,Clean,None,위키피디아
1927,지동설에 의해서 이 견해는 오류로 판명되었다.,Clean,None,위키피디아
1928,등장한다.,Clean,None,위키피디아
1929,"전라남도 신안군 하의도에서 태어났고, 제6-8·13·14대 국회의원을 지냈으며 15대 대통령으로 선출되었고, 대통령 재임중 노벨 평화상을 받았다.",Clean,None,위키피디아
1930,1054년에는 다양한 교회 내 갈등으로 교회의 대분열이 일어나 동방교회와 서방교회가 갈라졌다.,Clean,None,위키피디아
1931,"초월 존재를 부르는 단어에는 크게 2가지로 분류할 수 있는데, 대표적인 호칭이 “하느님”과 “신”이라 할 수 있다.",Clean,None,위키피디아
1932,"또한 현대의 일본 초밥은 손으로 쥐어 만드는 니기리즈시, 밥 위에 여러 재료를 얹어 먹는 지라시즈시, 김으로 말아 만드는 마키즈시 등으로 나눌 수 있다.",Clean,None,위키피디아
1933,"신안현 중국어: 新安县, 병음: Xīn'ān Xiàn)은 중화인민공화국 허난성 뤄양시에 있는 행정 구역이다. 신안군(新安郡 은 서진대 신도군을 개명하여 설치한 중국의 옛 군으로, 지금의 안후이성 황산시일대를 통치했다.",Clean,None,위키피디아
1934,"비교적 짧은 경력동안 장편소설, 논문, 여행기, 프랑스 혁명사, 지도서, 동화책에 이르기까지 폭넓은 분야에서 활동했다.",Clean,None,위키피디아
1935,"정보국에 남조선로동당 조직과 동료들을 증언한 후, 육군본부 정보국장이었던 백선엽의 최종 면담에서 사형을 면하였다.",Clean,None,위키피디아
1936,퀴어 이론은 사람을 하나의 분류에 넣어 구분 하는 관례를 문제시한다.,Clean,None,위키피디아
1937,"그러다가 2000년대에 들어서면서 새로운 계파가 생겨나기 시작했는데, 특히 2000년대 초반에는 보수 계열과 민주 계열이 있었으나, 이 중 민주 계열은 2003년 탈당하여 열린우리당에 입당하였다.",Clean,None,위키피디아
1938,"여성부 출범 직후부터 인터넷을 중심으로 여성가족부에 대한 비판은 끊이지 않았으며, 이는 여성부의 존폐론과 연결되어 있다.",Clean,None,위키피디아
1939,"그러나 2년도 채 지나지 않은 1965년, 싱가포르는 정부와의 마찰로 연방에서 탈퇴하게 되었다.",Clean,None,위키피디아
1940,충청남도는 대한민국 중서부에 있는 도이다.,Clean,None,위키피디아
1941,"UNHCR과 각 정부가 정의한 난민에 대한 ""영구적 해결방안""으로는 자발적 본국귀환, 비호국에 정착 및 통합, 제3국 재정착가 있다.",Clean,None,위키피디아
1942,대한민국에서도 1980년대 말 이후에 다문화주의의 민족 국가와 소수 집단 현상이 등장하면서 다문화주의 이념이 논의되기 시작했다.,Clean,None,위키피디아
1943,"주로 전쟁이나 혁명, 쿠데타 등이 발생할 때 많이 생긴다.",Clean,None,위키피디아
1944,"교황에게는 본래 세속적 권력이 없었지만, 중세기에는 세속의 통치자들이 가진 권력과 같이 광범위한 권력을 가진 때도 있었다.",Clean,None,위키피디아
1945,난민은 제2차 세계대전 이후 동유럽을 떠난 대규모 피난민들에 대해 법적으로 정의하면서 정식화되었다.,Clean,None,위키피디아
1946,"현재 사우디아라비아 지역에서 발흥한 아랍 왕조들에는 정통 칼리파조, 우마이야 칼리파조, 아바스 칼리파조, 파티마 칼리파조 등이 있으며, 그 외에도 무수한 아시아와 아프리카, 유럽의 이슬람 왕조들이 이 곳에서 번성하였다.",Clean,None,위키피디아
1947,"여러 젠더를 향해 정서적 또는 성적 끌림을 느낀다는 것은 같지만, 양성애는 상대의 젠더를 인식한 상태에서 그 젠더를 사랑하지만, 범성애는 상대의 젠더가 어떤 것인지와는 관계없이 사랑을 느낀다.",Clean,None,위키피디아
1948,"아내가 받았다는 노무현의 주장과는 달리, 박연차는 검찰 조사에서 노무현이 직접 전화를 걸어 자녀들의 집 장만을 위한 100만달러를 요구했다고 일관되게 진술하였고, 비서관을 통해 요청을 받고 차명계좌에서 노무현의 아들 노건호와 조카사위 연철호가 동업하는 기업에 500만 달러를 송금한 사실도 밝혀졌다.",Clean,None,위키피디아
1949,"싱가포르는 교육, 의료, 삶의 질, 개인 안전, 낮은 부패, 주거 등 주요 사회 지표에서 91%의 주택 소유율로 높은 순위를 차지하고 있다.",Clean,None,위키피디아
1950,"최근 세기에 들면서 교황은 점차 세속 권력이 약해지면서, 오늘날 교황의 권위는 다시 본연의 임무인 종교적 문제들에 국한되어 있다.",Clean,None,위키피디아
1951,"환자는 대개 아프거나 외상을 입은 상태에 처해 있으며 의사, 고등 간호사, 수의사, 의료인으로부터 치료의 손길이 필요하다.",Clean,None,위키피디아
1952,"2015년 5월 제44대 국무총리 후보로 지명되어, 2015년 6월 18일 취임하였다.",Clean,None,위키피디아
1953,"""남성혐오""란 말은 ""여성혐오""의 대칭존재로써 19세기에 만들어진 것으로 추측된다.",Clean,None,위키피디아
1954,어떤 백인 내셔널리스트들은 이것이 백인 학살의 일환이라고 생각한다.,Clean,None,위키피디아
1955,대한민국도 2007년부터 '차별금지법' 제정을 추진하였다.,Clean,None,위키피디아
1956,한부모란 홀로 아이를 키우는 부모를 말한다.,Clean,None,위키피디아
1957,"강간은 성폭력의 일종으로, 폭행 또는 협박으로 사람을 간음하는 행위를 뜻한다.",Clean,None,위키피디아
1958,신안면은 대한민국 경상남도 산청군에 있는 행정 구역이다.,Clean,None,위키피디아
1959,"페미니스트들이 연구하는 분야는 가부장제, 편견, 성적 대상화와 억압 등이 있다.",Clean,None,위키피디아
1960,"도시의 중심기능이 집중되어 있는 곳이 시가지라 부르며, 시가지의 주변에 있는 지역을 교외라고 한다.",Clean,None,위키피디아
1961,"로마 가톨릭교회 창시 이래 지금까지 2천 년 동안 총 266대 교황이 재위하였으며, 현재 교황은 제266대 교황 프란치스코이다.",Clean,None,위키피디아
1962,이는 동시에 해당 국가의 통화가치 하락과 구매력의 약화현상을 가져온다.,Clean,None,위키피디아
1963,혐오의 원인으로는 비이성적인 공포나 동성애가 자신이 믿는 종교의 교의에 어긋나는 죄악이라고 생각하는 것 등이 있다.,Clean,None,위키피디아
1964,"이후 워마드가 웹사이트로 변경된 후 초대 워마드의 운영자는 '뒈짓'이었으며, 2대 워마드의 운영자는 '관리자'이다.",Clean,None,위키피디아
1965,"흑인은 보편적 인종 구별에 따라 사하라 이남 아프리카인을 조상으로 갖는 인종을 통틀어 일컫는 말로, 주로 아프리카계 사람을 가리킨다.",Clean,None,위키피디아
1966,1819년 영국의 동인도 회사가 현 싱가포르 남부에 개발한 항구가 시초이다.,Clean,None,위키피디아
1967,18세기 들어서는 서유럽의 선진과학을 배워 개혁을 하는 등 러시아 제국으로 발전하였다.,Clean,None,위키피디아
1968,기름 부음은 아벨의 제사에 기름을 사용한 데 기인한다.,Clean,None,위키피디아
1969,도청 소재지는 전주시이다.,Clean,None,위키피디아
1970,"""중""의 어원에 대해서는 이견이 있으나 ‘중’이란 신라 때 사용하던 왕의 칭호로서 차차웅이 변해진 말이라 한다.",Clean,None,위키피디아
1971,반란 성공 이후 정계에 입문하였고 대통령 당선 이전에는 제41대 내무부 장관직을 역임하였다.,Clean,None,위키피디아
1972,"반면 성매매를 우호적으로 보는 여성주의자들은, 성매매도 강제적으로 하지 않는 이상 일종의 직업으로, 성매매에 대한 다른 성매매 및 다른 성 노동에 여성과 남성이 참여를 선택할 수 있다고 주장한다.",Clean,None,위키피디아
1973,"1664년에는 영국인들이 강제 점령해 도시와 그 주변 지역을 통치했고, 찰스 2세가 동생 요크 공에게 땅을 주면서 뉴욕이라고 불리기 시작하였다.",Clean,None,위키피디아
1974,"2003년에 일어난 이라크 전쟁으로 사담 후세인 정권은 미국의 주도로 붕괴되었으며, 내전이 끝났지만 치안 상태가 매우 불안정하여 대한민국에서는 특별한 사유가 없는 한 이 나라에 입국하는 것을 금지하고 있다.",Clean,None,위키피디아
1975,"물리적 실체인 유한세계는 비물리적 실체인 무한세계의 종속된 차원으로 연결되어 있고, 그 무한한 세계를 다스리는 초월 존재를 지칭하는 단어가 자연스레 생기게 되었다.",Clean,None,위키피디아
1976,유학은 중국의 공자를 시조하는 전통적인 학문을 뜻한다.,Clean,None,위키피디아
1977,12월 9일 대한민국 헌정사상 두 번째로 국회에서 탄핵소추안이 가결되어 대통령 직무가 정지되었다.,Clean,None,위키피디아
1978,"국가인권위원회는 그 권한에 속하는 업무를 독립하여 수행하며, 국민의 인권 보호에 관한 여러 가지 활동을 담당한다.",Clean,None,위키피디아
1979,대한민국은 헌법에 따라 1919년 3.1 운동에 영향을 받은 대한민국 임시정부의 법통을 계승한다.,Clean,None,위키피디아
1980,"물리치료는 노화, 부상, 질병 또는 환경 요인에 의한 운동 기능 저하를 극복하고, 건강과 활동성을 위한 피트니스와 프로그램을 개발하여 운동 능력, 기능성을 지속적으로 향상시키는 것을 목적으로 한다.",Clean,None,위키피디아
1981,"일반적으로 중동 지역은 건조하고 기온이 높으며, 몇 개의 강들에 농업을 위한 관개시설들이 설치되어 있다.",Clean,None,위키피디아
1982,"아프가니스탄은 후발 개발도상국의 하나로, 농업과 목축업의 의존도가 높다.",Clean,None,위키피디아
1983,"트랜스젠더라는 용어는 또한 ""남성 또는 여성 신체에 대한 전형적인 이진 개념에 맞지 않는"" 신체적 성 특성을 가지고 태어난 사람들을 설명하는 용어인 인터섹스와도 구별된다.",Clean,None,위키피디아
1984,"역사적으로 부권제는 서로 다른 많은 문화권에 걸쳐 사회적, 법적, 정치적, 경제적 차원에서 발현했다.",Clean,None,위키피디아
1985,"2011년 기준으로 1인당 명목 국민소득은 5만달러, PPP 환산 국민소득은 6만달러에 달하며, 1인당 외환보유고는 세계 최정상권이다.",Clean,None,위키피디아
1986,"성소수자 운동에서 가장 주류적으로 사용되는 용어이나, 수용성이 제한적이기 때문에 비판의 대상이 되기도 한다.",Clean,None,위키피디아
1987,"북쪽으로는 터키, 동쪽으로는 이라크, 남쪽으로는 요르단 및 이스라엘, 서쪽으로는 레바논과 접한다.",Clean,None,위키피디아
1988,지방 및 기름은 지방족 사슬에서 탄소 원자의 개수 및 결합에 따라 분류된다.,Clean,None,위키피디아
1989,"또한 쿠샨 제국, 에프탈 제국, 사만 토후국, 사파르 토후국, 가즈나 제국, 고르 술탄국, 할지 술탄국, 무굴 제국, 호타크 제국, 두라니 제국, 기타 등등의 제국들을 일으킨 민족들의 근원지가 되기도 하였다.",Clean,None,위키피디아
1990,여성주의 미술은 뉴미디어와 새로운 관점의 혼합을 통하여 예술의 정의를 확장하는 혁신적인 동력으로서 기여하였다.,Clean,None,위키피디아
1991,세계에서 가장 인구가 밀집된 섬인 자와섬에는 인도네시아 전체 인구의 절반 이상이 모여 살고 있다.,Clean,None,위키피디아
1992,이집트 아랍 공화국) 또는 에굽은 북아프리카와 서아시아의 시나이 반도에 결쳐있는 국가이다.,Clean,None,위키피디아
1993,"혼인은 법률적, 사회적, 종교적 요소를 포함하고 있다.",Clean,None,위키피디아
1994,"2004년부터 2006년까지는 한나라당의 대표 최고위원을 역임하였으며, 2007년 한나라당의 제17대 대선 후보 경선에 출마하였지만 이명박에게 석패하였다.",Clean,None,위키피디아
1995,행정구역은 5시 17군이다.,Clean,None,위키피디아
1996,그러나 60대 이상의 압도적 지지로 정권의 기반을 유지하다가 2016년 말 박근혜-최순실 게이트로 민간인의 국정 개입 사실이 낱낱이 폭로되면서 2016년 12월 3일 대한민국 국회에서 《대통령 탄핵소추안》이 발의되었다.,Clean,None,위키피디아
1997,"이들 한민족들, 특히 중화인민공화국 지린 성 옌볜 조선족 자치주의 조선족은 대한민국에 들어와 일을 하거나 결혼을 하는 등 현재에도 활발히 교류하고 있다.",Clean,None,위키피디아
1998,무신론자들은 경험주의에만 기댈 뿐 실증이 부족한 초자연주의에 대한 회의주의를 가지는 경향이 있다.,Clean,None,위키피디아
1999,"예를 들어, 포화 지방은 원하는 온도에서 녹고, 보관이 용이한 반면, 다불포화 지방은 공기 중의 산소와 반응해서 산패되기 쉽다.",Clean,None,위키피디아
2000,"이 관점의 주장에 따르면 매춘이 정부와 사업 법규에 의해 규제되도록 하여야 하며, 성매매 여성을 보호하고 이들에게 해치는 사람들을 기소하는 능력을 향상시켜야 한다고 주장한다.",Clean,None,위키피디아
2001,주로 종교적 신앙의 대상으로 여겨진다.,Clean,None,위키피디아
2002,"여러 국가 및 국제단체에서는 각기 다른 차별금지법을 채택하고 있으며, 보호하는 집단과 금지하는 차별 사유 등에 있어서 서로 차이점들이 있다.",Clean,None,위키피디아
2003,담양은 다음과 같은 뜻이 있다.,Clean,None,위키피디아
2004,노무현 정부는 골디락스 호황에도 불구하고 세계 경제성장률을 상회하지 못했고 도리어 이를 가장 크게 하회한 대한민국 정부로 기록되었다.,Clean,None,위키피디아
2005,"무신론은 큰 의미에서 신의 존재에 대한 신앙을 부정하거나,신의 존재 자체를 인정하지 않는 사상이다.",Clean,None,위키피디아
2006,"제12대 국회의원과 정무2장관, 체육부와 내무부의 장관을 지냈으며 1988년부터 1993년까지 제13대 대통령을 지냈다.",Clean,None,위키피디아
2007,"대한민국의 국기는 대한민국 국기법에 따라 태극기, 국가는 관습상 애국가, 국화는 관습상 무궁화이다.",Clean,None,위키피디아
2008,이 분할안에서는 팔레스타인에 유대인 국가와 아랍인 국가를 형성하며 예루살렘은 국제 공동통치지역으로 설정하기로 되어있었다.,Clean,None,위키피디아
2009,"모든 트랜스젠더들이 이러한 치료를 원하는 것은 아니며, 일부 트랜스젠더들은 경제적 또는 의료적 이유로 치료를 받을 수 없다.",Clean,None,위키피디아
2010,"오사카는 일본 제2의 도시이며, 도쿄도에 이어 경제, 문화 등 중요한 역할을 담당하고 있다.",Clean,None,위키피디아
2011,"10월 한 달 동안 아이슬란드, 파키스탄, 우크라이나, 헝가리, 벨로루시 등 5개국이 외환위기를 맞아 IMF 구제금융을 신청했다.",Clean,None,위키피디아
2012,후천면역결핍증후군는 HIV라는 바이러스에 감염되어 발병하면 나타나는 전염병이다.,Clean,None,위키피디아
2013,2008년 9월에는 미국발 글로벌금융위기가 발생했다.,Clean,None,위키피디아
2014,"그러나 임기 중에는 ""대통령 못 해먹겠다"", ""미국 엉덩이 뒤에 숨어서"" 등 그의 화법이 논란이 되며 보수 언론으로부터 비판을 받기도 했다. 한국대학총학생회연합 합법화, 국가보안법 폐지 검토, 2007년 10월 4일 남북정상회담 당시 김정일과의 회담에서 NLL에 관한 발언이 오해를 불러 일으켜 보수 언론의 공격을 받았다.",Clean,None,위키피디아
2015,"말레이시아는 13개의 주와 3개의 연방 직할구로 구성되어 있고, 남중국해로 나뉜 말레이반도 지역과 보르네오섬 지역으로 구성되어 있다.",Clean,None,위키피디아
2016,우생학은 종의 개량을 목적으로 인간의 선발육종을 찬성하는 생각이다.,Clean,None,위키피디아
2017,"시아파의 결성으로 이슬람 세계는 정치적, 종교적으로 분열되고, 이 현상은 오늘날까지 계속되고 있다.",Clean,None,위키피디아
2018,"또한 1970년대부터는 김일성의 후계자로 주목되었으며, 1980년 제 6차 0당 대회를 통해서 공식적인 후계자가 되었다.",Clean,None,위키피디아
2019,신부역은 안성선의 역이다.,Clean,None,위키피디아
2020,"2021년 9월 1일 기준으로 총 82,876개의 문서가 생성되어 있다.",Clean,None,위키피디아
2021,또한 2015년에는 4대강 보의 물을 가뭄지역에 공급하는 사업이 추진되기도 하였다.,Clean,None,위키피디아
2022,수도는 카불이다.,Clean,None,위키피디아
2023,"이후 20세기 후반 내내 이집트는 극심한 종교적, 정치적 혼란기를 겪었고, 1948년, 1956년, 1967년, 1973년에는 연이어 이스라엘과 무력 충돌을 반복하며 가자 지구를 강제 점령하기도 하였다.",Clean,None,위키피디아
2024,794년 일본의 수도로 세운 헤이안쿄에 해당하며 오랫동안 일본의 정치와 문화의 중심지였다.,Clean,None,위키피디아
2025,전역은 중국 삼국시대의 장수이다.,Clean,None,위키피디아
2026,구미의 남서쪽에 있는 금오산도립공원은 영남 팔경의 하나이다.,Clean,None,위키피디아
2027,"국교는 이슬람교이지만, 헌법상 종교의 자유는 인정되고 있다.",Clean,None,위키피디아
2028,정계 입문 이전에는 노무현과 함께 법무법인 부산에서 인권변호사로 활동했고 대통령 당선 이전에는 참여정부의 청와대 민정수석과 대통령비서실장을 거쳐 제19대 대한민국 국회의원과 더불어민주당 대표를 역임했다.,Clean,None,위키피디아
2029,"기본적으로 2013년에 하나의 중국원칙을 지지한 파키스탄, 그리고 조선민주주의인민공화국, 베네수엘라, 쿠바, 이란, 볼리비아, 방글라데시, 캄보디아, 불가리아, 세르비아 등이 있다.",Clean,None,위키피디아
2030,"2018년 드루킹으로부터 불법 정치자금을 수수했다는 의혹이 제기되었고, 특검의 수사가 진행되던 중 7월 23일 오전 9시 38분 서울특별시 중구 신당동 한 아파트의 17층과 18층 사이에서 투신 자살하였다.",Clean,None,위키피디아
2031,"많은 백인 내셔널리스트들은 혼혈, 다문화, 비백인의 이민, 그리고 백인의 낮은 출산률이 그들을 위협한다고 생각한다.",Clean,None,위키피디아
2032,이후 대통령에 당선되며 직선제 및 민간 정부 출범 이후 최초의 평화적인 정권교체를 이루었다.,Clean,None,위키피디아
2033,"구미시는 대한민국 경상북도 중서부에 있는 시이다. 시청 소재지는 송정동이고, 행정구역은 3읍 5면 17동이다.",Clean,None,위키피디아
2034,여성에게 허용된 경제적 및 사회적 자유가 증대되면서 레즈비언들은 독립적으로 관계와 가족을 형성할지를 결정하는 것이 가능하게 되었다.,Clean,None,위키피디아
2035,키예프 루스는 이후 수많은 도시국가들로 분화하였고 몽골에 의해 국가와 연합체 자체가 사라져 농노화되었다.,Clean,None,위키피디아
2036,"보수 언론들은 노무현을 반미주의자이며 좌파로 규정하고 공격을 가했으나, 실제 임기 중에 펼친 정책은 그러한 노선과는 거리가 멀었으며, 진보 진영으로부터는 한미 FTA 추진과 이라크 파병 등 노무현 정부의 정책이 신자유주의 우파에 가깝다는 비난을 받기도 했다.",Clean,None,위키피디아
2037,"그 해에 제18대 대통령 선거 진보정의당 후보로 선출되었지만, 문재인 후보를 지지하고 중도 사퇴하였다.",Clean,None,위키피디아
2038,"개신교는 하나님 이라는 명칭을 별도로 사용하여, 개신교 성경과 예배에서 사용한다.",Clean,None,위키피디아
2039,"""가장 오래되고 가장 광범위할 뿐만 아니라 가장 중요한 지배 형태""이며 다른 억압들의 모델이 됐다는 것이다.",Clean,None,위키피디아
2040,대부분의 유대인들은 예수를 메시아로 인정하지 않고 언젠가 올 메시아를 기다리고 있다.,Clean,None,위키피디아
2041,"백인 내셔널리스트들은 백인 국가라는 개념에 집착하며, 자신들이 백인의 생존과 보존을 보장하려고 노력한다고 주장한다.",Clean,None,위키피디아
2042,"주로 일본인, 중국인, 몽골인, 한국인, 태국인, 베트남인, 필리핀인이 대표적이다.",Clean,None,위키피디아
2043,1790년부터는 미국에서 가장 큰 도시로 성장했다.,Clean,None,위키피디아
2044,역사적으로 군대에서 공개적으로 동성애자 복무자를 포용하고 기피하는 사회를 보아왔다.,Clean,None,위키피디아
2045,"현재의 천황은 나루히토, 국회의 집권당은 자유민주당이며 내각총리대신은 기시다 후미오이다.",Clean,None,위키피디아
2046,"그리하여 오늘날, 전 세계 인구의 약 2.3%가 무신론자, 11.9%가 불가지론자인 것으로 조사되었다.",Clean,None,위키피디아
2047,영어로는 헤이트 스피치라 한다.,Clean,None,위키피디아
